11,知乎,7,知乎,1,6,11,11,11,11,11,11
11,知乎,7,滴滴出行,1,6,11,11,11,11,11,11
11,知乎,7,腾讯新闻,1,6,4,3,3,3,4,3
11,知乎,7,百度贴吧,1,6,10,10,10,10,10,10
11,知乎,7,饿了么,1,6,10,10,4,4,4,4
11,知乎,7,今日头条,1,6,11,4,11,10,10,10
11,知乎,7,美团,1,6,10,8,9,10,10,10
11,知乎,7,QQ,1,6,4,4,4,4,3,3
11,知乎,7,脉脉,1,6,11,11,11,11,11,11
11,知乎,7,哔哩哔哩,1,6,10,4,4,4,4,4
11,知乎,7,爱豆,1,6,3,8,8,10,10,10
11,知乎,7,咪咕视频,1,6,10,10,10,10,10,10
11,知乎,7,拼多多,1,6,11,11,11,11,11,11
11,知乎,7,大众点评,1,6,11,10,10,10,10,10
11,知乎,7,日历,1,6,10,4,9,9,10,5
11,知乎,7,百度翻译,1,6,10,9,4,10,10,10
11,知乎,7,MoliPlayer,1,6,10,10,4,10,10,10
11,知乎,7,苏宁易购,1,6,11,11,11,11,11,10
11,知乎,7,美团外卖,1,6,10,10,4,4,4,4
11,知乎,7,新浪新闻,1,6,11,10,10,10,11,10
11,知乎,7,中国移动,1,6,4,5,5,10,10,10
11,知乎,7,微博,1,6,4,4,4,4,4,4
11,知乎,7,小黑鱼,1,6,11,11,11,11,11,11
11,知乎,7,音悦台,1,6,10,10,10,10,10,10
11,知乎,7,东方头条,1,6,11,11,11,11,11,11
11,知乎,7,淘新闻,1,6,11,11,11,11,11,10
11,知乎,7,中国移动,1,6,4,5,5,10,10,10
11,知乎,7,唯品会,1,6,11,10,10,10,10,10
11,知乎,7,一键锁屏,1,6,10,10,10,10,10,10
11,知乎,7,屈臣氏莴笋,1,6,11,11,11,11,11,10
11,知乎,7,爱奇艺,1,6,11,11,11,11,11,11
11,知乎,7,券妈妈优惠券,1,6,4,4,4,4,4,4
11,知乎,7,万表-买手表、名表,1,6,11,10,10,10,10,10
11,知乎,7,网易新闻,1,6,11,11,11,10,10,10
11,知乎,7,腾讯视频,1,6,11,11,11,11,11,10
